"Position" "Const" "Created" "Modified" "Description" "Title" "URL" "Title Type" "IMDb Rating" "Runtime (mins)" "Year" "Genres" "Num Votes" "Release Date" "Directors" "Your Rating" "Date Rated"
139 "tt1259571" 2013-01-27 2013-01-27 NA "The Twilight Saga: New Moon" "https://www.imdb.com/title/tt1259571/" "movie" 4.7 130 2009 "Adventure, Drama, Fantasy, Romance" 237589 2009-11-16 "Chris Weitz" 3 2013-02-01
247 "tt0047396" 2013-02-13 2013-02-13 NA "Rear Window" "https://www.imdb.com/title/tt0047396/" "movie" 8.5 112 1954 "Mystery, Thriller" 369648 1954-08-04 "Alfred Hitchcock" 9 2014-02-13
35 "tt0101414" 2013-01-27 2013-01-27 NA "Beauty and the Beast" "https://www.imdb.com/title/tt0101414/" "movie" 8 84 1991 "Animation, Family, Fantasy, Musical, Romance" 365677 1991-09-29 "Gary Trousdale, Kirk Wise" 8 2013-02-01
142 "tt0054698" 2013-01-27 2013-01-27 NA "Breakfast at Tiffany's" "https://www.imdb.com/title/tt0054698/" "movie" 7.7 115 1961 "Comedy, Drama, Romance" 142054 1961-10-05 "Blake Edwards" 8 2013-01-31
101 "tt1080016" 2013-01-27 2013-01-27 NA "Ice Age: Dawn of the Dinosaurs" "https://www.imdb.com/title/tt1080016/" "movie" 7 94 2009 "Animation, Action, Adventure, Comedy, Family" 189079 2009-06-26 "Mike Thurmeier, Carlos Saldanha" 7 2013-02-01
394 "tt0108847" 2017-01-24 2017-01-24 NA "The Magic School Bus" "https://www.imdb.com/title/tt0108847/" "tvSeries" 8 30 1994 "Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi" 6418 1994-09-10 NA 7 2017-05-08
164 "tt0351283" 2013-01-28 2013-01-28 NA "Madagascar" "https://www.imdb.com/title/tt0351283/" "movie" 6.9 86 2005 "Animation, Adventure, Comedy, Family" 305985 2005-05-25 "Tom McGrath, Eric Darnell" 5 2013-02-01
295 "tt0048728" 2014-02-14 2014-02-14 NA "To Catch a Thief" "https://www.imdb.com/title/tt0048728/" "movie" 7.5 106 1955 "Mystery, Romance, Thriller" 52507 1955-08-02 "Alfred Hitchcock" 8 2014-02-14
364 "tt0244970" 2016-02-21 2016-02-21 NA "Someone Like You..." "https://www.imdb.com/title/tt0244970/" "movie" 6.1 97 2001 "Comedy, Romance" 21521 2001-03-28 "Tony Goldwyn" 7 2016-03-14
288 "tt0988045" 2014-01-27 2014-01-27 NA "Sherlock Holmes" "https://www.imdb.com/title/tt0988045/" "movie" 7.6 128 2009 "Action, Adventure, Crime, Mystery, Thriller" 525272 2009-12-14 "Guy Ritchie" 7 2014-01-27
159 "tt1067106" 2013-01-28 2013-01-28 NA "A Christmas Carol" "https://www.imdb.com/title/tt1067106/" "movie" 6.8 96 2009 "Animation, Drama, Family, Fantasy" 85244 2009-11-03 "Robert Zemeckis" 4 2013-02-01
272 "tt0452587" 2013-08-29 2013-08-29 NA "Babak & Friends: A First Norooz" "https://www.imdb.com/title/tt0452587/" "video" 7.7 33 2005 "Family, Animation, Short" 80 2005-03-10 "Dustin Ellis" 8 2013-08-29
226 "tt0243585" 2013-02-03 2013-02-03 NA "Stuart Little 2" "https://www.imdb.com/title/tt0243585/" "movie" 5.5 77 2002 "Animation, Adventure, Comedy, Family, Fantasy" 42254 2002-07-14 "Rob Minkoff" 3 2013-02-03
255 "tt1425244" 2013-02-20 2013-02-20 NA "Partly Cloudy" "https://www.imdb.com/title/tt1425244/" "short" 8.2 6 2009 "Animation, Short, Comedy, Family, Fantasy" 16531 2009-05-16 "Peter Sohn" 9 2013-02-20
1 "tt0332280" 2013-01-27 2013-01-27 NA "The Notebook" "https://www.imdb.com/title/tt0332280/" "movie" 7.9 123 2004 "Drama, Romance" 445357 2004-05-20 "Nick Cassavetes" 8 2015-01-24
170 "tt0118849" 2013-01-28 2013-01-28 NA "Bacheha-Ye aseman" "https://www.imdb.com/title/tt0118849/" "movie" 8.3 89 1997 "Drama, Family" 44640 1997-02-01 "Majid Majidi" 9 2013-05-29
79 "tt0387564" 2013-01-27 2013-01-27 NA "Saw" "https://www.imdb.com/title/tt0387564/" "movie" 7.6 103 2004 "Crime, Horror, Mystery, Thriller" 334925 2004-01-19 "James Wan" 3 2013-01-31
135 "tt0431308" 2013-01-27 2013-01-27 NA "P.S. I Love You" "https://www.imdb.com/title/tt0431308/" "movie" 7.1 126 2007 "Drama, Romance" 184549 2007-12-20 "Richard LaGravenese" 7 2013-12-17
217 "tt0094500" 2013-02-03 2013-02-03 NA "The Lion, the Witch, & the Wardrobe" "https://www.imdb.com/title/tt0094500/" "tvMiniSeries" 7.3 171 1988 "Adventure, Family, Fantasy" 4944 1988-11-13 NA 7 2013-02-03
430 "tt2064968" 2018-05-02 2018-05-02 NA "The Longest Week" "https://www.imdb.com/title/tt2064968/" "movie" 5.4 86 2014 "Comedy, Drama, Romance" 9789 2014-09-01 "Peter Glanz" 5 2018-05-02
40 "tt0108160" 2013-01-27 2013-01-27 NA "Sleepless in Seattle" "https://www.imdb.com/title/tt0108160/" "movie" 6.8 105 1993 "Comedy, Drama, Romance" 136765 1993-06-25 "Nora Ephron" 4 2013-01-31
411 "tt0356634" 2017-08-16 2017-08-16 NA "Garfield" "https://www.imdb.com/title/tt0356634/" "movie" 5 80 2004 "Animation, Comedy, Family, Fantasy" 67515 2004-06-06 "Peter Hewitt" 8 2017-08-16
234 "tt0926084" 2013-02-05 2013-02-05 NA "Harry Potter and the Deathly Hallows: Part 1" "https://www.imdb.com/title/tt0926084/" "movie" 7.7 146 2010 "Adventure, Family, Fantasy, Mystery" 387714 2010-11-11 "David Yates" 8 2013-02-06
146 "tt1170393" 2013-01-27 2013-01-27 NA "Dayereh-e zangi" "https://www.imdb.com/title/tt1170393/" "movie" 7.2 110 2008 "Comedy, Drama" 2045 2008-02-01 "Parisa Bakhtavar" 4 2013-01-31
274 "tt2669832" 2013-09-20 2013-09-20 NA "Hich Koja Hich Kas" "https://www.imdb.com/title/tt2669832/" "movie" 5 93 2013 "Crime, Drama, Mystery" 121 2013-08-07 "Ebrahim Sheibani" 6 2013-09-20
36 "tt0120382" 2013-01-27 2013-01-27 NA "The Truman Show" "https://www.imdb.com/title/tt0120382/" "movie" 8.1 103 1998 "Comedy, Drama, Sci-Fi" 777995 1998-06-01 "Peter Weir" 6 2013-02-01
